"Restaurant","Country","City","Price","Rating"
"Hasty Tasty","India","New Delhi",1,"Average"
"Dezertfox","India","New Delhi",2,"Good"
"Sinciti","India","New Delhi",3,"Very Good"
"Zooby's Kitchen","India","New Delhi",2,"Average"
"3 Pegs Down","India","New Delhi",3,"Good"
"Aggarwal Sweet Center","India","New Delhi",1,"Average"
"Sri Basant Vihar","India","Patna",2,"Good"
"Pizza Hut","India","Surat",3,"Very Good"
"The Grill Room - The Taj Mahal Hotel","India","New Delhi",4,"Average"
"Craving","India","New Delhi",2,"Average"
"Yamu's Panchayat","India","Noida",1,"Average"
"Foodie","India","Noida",2,"Average"
"Kaveri Restaurant And Caterers","India","Ranchi",1,"Average"
"Giani's","India","New Delhi",1,"Average"
"Nite Bites","India","Noida",2,"Average"
"Sushiya Express","India","New Delhi",2,"Good"
"Baljeet's Amritsari Koolcha","India","New Delhi",1,"Average"
"Ming Garden","India","Varanasi",3,"Good"
"Domino's Pizza","India","New Delhi",2,"Average"
"Talab South Indian Restaurant","India","New Delhi",1,"Average"
"Crazy Delights","India","New Delhi",1,"Good"
"Yours Deliciously","India","Noida",1,"Average"
"Tibb's Frankie","India","New Delhi",1,"Average"
"Bikano Chat Cafe","India","New Delhi",2,"Average"
"Chaayos","India","New Delhi",1,"Average"
"Delhi Biryani Hut","India","Noida",1,"Average"
"Aggarwal Restaurant","India","New Delhi",1,"Average"
"Ram Singh Chaat Bhandaar","India","New Delhi",1,"Average"
"Cafe Coffee Day","India","Noida",1,"Average"
"Yes Bosz Food Plaza","India","Noida",1,"Average"
"Walia's Dawat Mahal","India","New Delhi",2,"Average"
"Tandoor Villa","India","Varanasi",3,"Good"
"Sevilla - The Claridges","India","New Delhi",4,"Very Good"
"Fresh Food Factory","India","Noida",1,"Good"
"Lawn Bistro","India","Noida",3,"Good"
"Sethi's The Cake Shop","India","New Delhi",1,"Average"
"Coffee Culture - The Ristorante Lounge","India","Surat",2,"Very Good"
"The Hunger Cure","India","Noida",2,"Average"
"Haldiram's","India","New Delhi",2,"Good"
"Haaochi","India","Noida",2,"Good"
"World of Wok","India","New Delhi",2,"Good"
"Princess Garden","India","New Delhi",3,"Average"
"Open Kitchen","India","Noida",2,"Average"
"Bikkgane Biryani","India","Noida",2,"Good"
"GBar - The Grand New Delhi","India","New Delhi",4,"Average"
"Radhika Sweets","India","New Delhi",1,"Average"
"Binge Restaurant","India","Noida",3,"Average"
"Go! Biryani","India","Noida",2,"Good"
"Andaaz E Paranthas","India","Noida",2,"Average"
"Cake n Flower","India","Noida",1,"Average"
"Mei Kun - The Leela Ambience Convention Hotel","India","New Delhi",4,"Good"
"RollsKing","India","Noida",1,"Average"
"Al Bake","India","Noida",1,"Good"
"Salato Salad Studio","India","Noida",2,"Very Good"
"Moti Mahal Delux Tandoori Trail","India","Noida",3,"Average"
"Bombay Bhelpuri","India","New Delhi",1,"Good"
"Captain Curry","India","Noida",1,"Good"
"Gyan Di Hatti","India","New Delhi",1,"Average"
"TGI Friday's","India","Noida",4,"Good"
"Mini Meals","India","New Delhi",1,"Average"
"Punjabi Angeethi","India","New Delhi",2,"Average"
"Frontier","India","New Delhi",1,"Average"
"Larry's China - Taj Vivanta","India","New Delhi",4,"Good"
"The Spice Route - The Imperial","India","New Delhi",4,"Very Good"
"Kenny Rogers Roasters","India","Noida",3,"Good"
"Burger King","India","Noida",2,"Average"
"Chaska","India","New Delhi",2,"Average"
"Sky Grill","India","Noida",2,"Average"
"Hwealthcafe","India","New Delhi",2,"Good"
"Blueline - The Promenade","India","Puducherry",4,"Good"
"LIT Ultrabar","India","Noida",3,"Good"
"South King Restaurant","India","Noida",1,"Average"
"Chicago Pizza","India","New Delhi",2,"Average"
"Shahi Food Corner","India","New Delhi",1,"Average"
"Chaayos","India","Noida",1,"Good"
"Waterfront - Radisson Blu","India","Ranchi",4,"Average"
"Prana","India","Ranchi",3,"Good"
"Cafe 44","India","Noida",2,"Average"
"Baby Dragon Bar & Restaurant","India","Noida",3,"Good"
"Snacks India","India","Noida",2,"Good"
